user,item,rating
radio-0,style|taylorswift,6.0
radio-0,dropdead|oliviarodrigo,5.92
radio-0,capitalletters|haileesteinfeldbloodpop,5.84
radio-0,ireallylikeyou|carlyraejepsen,5.76
radio-0,justthewayyouare|brunomars,5.68
radio-0,theman|taylorswift,5.6
radio-0,stealtheshowfromelemental|lauv,5.52
radio-0,goodtime|owlcitycarlyraejepsen,5.4399999999999995
radio-0,stupidsong|oliviarodrigo,5.36
radio-0,whosays|selenagomezthescene,5.2
radio-0,thislove|taylorswift,5.12
radio-0,marryyou|brunomars,5.04
radio-0,blackmagic|littlemix,4.96
radio-0,nightchanges|onedirection,4.88
radio-0,backtofriends|sombr,4.8
radio-0,weareneverevergettingbacktogether|taylorswift,4.72
radio-0,givemeakiss|crashadams,4.64
radio-0,mastermind|taylorswift,4.5600000000000005
radio-0,circles|postmalone,4.48
radio-0,adoreyou|harrystyles,4.4
radio-0,iwantitthatway|backstreetboys,4.32
radio-0,symphony|cleanbanditzaralarsson,4.24
radio-0,youbelongwithme|taylorswift,4.16
radio-0,endofbeginning|djo,4.08
radio-0,lightswitch|charlieputh,4.0
radio-0,dancingonmyown|robyn,3.92
radio-0,onelasttime|arianagrande,3.84
radio-0,opalite|taylorswift,3.76
radio-0,signofthetimes|harrystyles,3.68
radio-0,dietpepsi|addisonrae,3.6
radio-0,eeniemeenie|seankingstonjustinbieber,3.52
radio-0,stealmygirl|onedirection,3.44
radio-0,closetoyou|gracieabrams,3.36
radio-0,hatethatimadeyouloveme|arianagrande,3.28
radio-0,wedonttalkanymore|charlieputhselenagomez,3.1999999999999997
radio-0,isitovernow|taylorswift,3.12
radio-0,soeasy|oliviadean,3.04
radio-0,backtoyoufrom13reasonswhy|selenagomez,2.96
radio-0,needyounow|ladya,2.88
radio-0,leavebeforeyouloveme|marshmellojonasbrothers,2.64
radio-0,wecantbefriends|arianagrande,2.56
radio-0,trainingseason|dualipa,2.48
radio-0,lovemenot|ravynlenae,2.4
radio-0,midnightrain|taylorswift,2.32
radio-0,perfect|onedirection,2.2399999999999998
radio-1,cruelsummer|taylorswift,6.0
radio-1,stealtheshowfromelemental|lauv,5.92
radio-1,wecantbefriends|arianagrande,5.84
radio-1,nightchanges|onedirection,5.76
radio-1,stupidsong|oliviarodrigo,5.68
radio-1,youbelongwithme|taylorswift,5.6
radio-1,wedonttalkanymore|charlieputhselenagomez,5.52
radio-1,marryyou|brunomars,5.4399999999999995
radio-1,supernatural|arianagrande,5.36
radio-1,perfect|onedirection,5.2
radio-1,theman|taylorswift,5.12
radio-1,loveulikethat|lauv,5.04
radio-1,blackmagic|littlemix,4.96
radio-1,lovemenot|ravynlenae,4.88
